3088	positive	Foster and Whitaker are especially fine .
6509	positive	It 's the brilliant surfing photography bringing you right inside the massive waves that lifts Blue Crush into one of the summer 's most pleasurable movies .
3022	positive	Spare but quietly effective retelling .
3707	positive	-LRB- Leigh -RRB- has a true talent for drawing wrenching performances from his actors -LRB- improvised over many months -RRB- and for conveying the way tiny acts of kindness make ordinary life survivable .
4785	positive	Boasts enough funny dialogue and sharp characterizations to be mildly amusing .
3811	negative	An admitted egomaniac , Evans is no Hollywood villain , and yet this grating showcase almost makes you wish he 'd gone the way of Don Simpson .
6072	neutral	Personal Velocity has a no-frills docu-Dogma plainness , yet Miller lingers on invisible , nearly psychic nuances , leaping into digressions of memory and desire .
3495	positive	Close enough in spirit to its freewheeling trash-cinema roots to be a breath of fresh air .
4185	negative	With nary a glimmer of self-knowledge , -LRB- Crane -RRB- becomes more specimen than character -- and Auto Focus remains a chilly , clinical lab report .
5576	negative	Coarse , cliched and clunky , this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars Hugh Grant and Sandra Bullock .
3167	positive	It 's a square , sentimental drama that satisfies , as comfort food often can .
3845	negative	The whole talking-animal thing is grisly .
4560	positive	A lively and engaging examination of how similar obsessions can dominate a family .
5971	negative	The story really has no place to go since Simone is not real -- she ca n't provide any conflict .
1791	positive	While there are times when the film 's reach exceeds its grasp , the production works more often than it does n't .
7977	negative	It 's difficult to feel anything much while watching this movie , beyond mild disturbance or detached pleasure at the acting .
185	neutral	At a brief 42 minutes , we need more X and less blab .
8519	negative	With its parade of almost perpetually wasted characters ... Margarita feels like a hazy high that takes too long to shake .
2586	positive	A tone of rueful compassion ... reverberates throughout this film , whose meaning and impact is sadly heightened by current world events .
3885	positive	The wonder of Mostly Martha is the performance of Gedeck , who makes Martha enormously endearing .
5526	neutral	Impeccably filmed , sexually charged , but ultimately lacking in substance , not to mention dragged down by a leaden closing act .
3615	positive	Unexpected moments of authentically impulsive humor are the hallmark of this bittersweet , uncommonly sincere movie that portrays the frank humanity of ... emotional recovery .
1340	negative	Becomes the last thing you would expect from a film with this title or indeed from any Plympton film : boring .
1026	positive	Anyone who welcomes a dash of the avant-garde fused with their humor should take pleasure in this crazed , joyous romp of a film .
6356	negative	It 's supposed to be post-feminist breezy but ends up as tedious as the chatter of parrots raised on Oprah .
8079	negative	The acting is just fine , but there 's not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff .
6578	neutral	Everything is pegged into the groove of a New York dating comedy with ` issues ' to simplify .
2509	neutral	Feels slight , as if it were an extended short , albeit one made by the smartest kids in class .
1344	positive	By surrounding us with hyper-artificiality , Haynes makes us see familiar issues , like racism and homophobia , in a fresh way .
5389	negative	You try to guess the order in which the kids in the house will be gored .
6086	neutral	You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .
7817	negative	The heedless impetuousness of youth is on full , irritating display in -LRB- this -RRB- meandering and pointless French coming-of-age import from writer-director Anne-Sophie Birot .
1358	neutral	Spare yet audacious ...
4145	positive	If S&M seems like a strange route to true love , maybe it is , but it 's to this film 's -LRB- and its makers ' -RRB- credit that we believe that that 's exactly what these two people need to find each other -- and themselves .
8179	positive	A remarkable movie with an unsatisfying ending , which is just the point .
6481	positive	An Asian neo-realist treasure .
3353	negative	Even if you 're an Elvis person , you wo n't find anything to get excited about on this DVD .
391	negative	Julie Davis is the Kathie Lee Gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent .
1600	negative	Loosely speaking , we 're in All of Me territory again , and , strictly speaking , Schneider is no Steve Martin .
6608	positive	It excels because , unlike so many other Hollywood movies of its ilk , it offers hope .
6376	negative	The story passes time until it 's time for an absurd finale of twisted metal , fireballs and revenge .
6047	negative	To better understand why this did n't connect with me would require another viewing , and I wo n't be sitting through this one again ... that in itself is commentary enough .
2954	positive	A riveting profile of law enforcement , and a visceral , nasty journey into an urban Hades .
6485	negative	A Rumor of Angels does n't just slip -- it avalanches into forced fuzziness .
1581	positive	Certainly the performances are worthwhile .
3133	negative	once she lets her love depraved leads meet , -LRB- Denis ' -RRB- story becomes a hopeless , unsatisfying muddle
2071	positive	Executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted Scrooge could fail to respond .
1778	positive	One of the best films of the year with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes of tenderness , loss , discontent , and yearning .
6829	positive	The journey is worth your time , especially if you have Ellen Pompeo sitting next to you for the ride .
6514	negative	Fluffy and disposible .
4890	positive	The movie is ingenious fun .
4545	positive	These people are really going to love The Piano Teacher .
4347	positive	My Big Fat Greek Wedding is that rare animal known as ' a perfect family film , ' because it 's about family .
2990	negative	A hit - and-miss affair , consistently amusing but not as outrageous or funny as Cho may have intended or as imaginative as one might have hoped .
854	neutral	A somewhat disappointing and meandering saga .
5288	positive	It 's a rare window on an artistic collaboration .
518	negative	I 'm not sure which is worse : the poor acting by the ensemble cast , the flat dialogue by Vincent R. Nebrida or the gutless direction by Laurice Guillen .
79	negative	This is a heartfelt story ... it just is n't a very involving one .
8277	negative	A pathetically inane and unimaginative cross between XXX and Vertical Limit .
5865	negative	A baffling subplot involving smuggling drugs inside Danish cows falls flat , and if you 're going to alter the Bard 's ending , you 'd better have a good alternative .
1720	negative	This tale has been told and retold ; the races and rackets change , but the song remains the same .
2682	neutral	A crisply made movie that is no more than mildly amusing .
624	positive	Like its parade of predecessors , this Halloween is a gory slash-fest .
5978	negative	But the feelings evoked in the film are lukewarm and quick to pass .
5735	positive	The Last Kiss will probably never achieve the popularity of My Big Fat Greek Wedding , but its provocative central wedding sequence has far more impact .
6539	neutral	It 's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script , unimpressive acting and indifferent direction .
1765	negative	But it would be better to wait for the video .
2378	positive	It makes compelling , provocative and prescient viewing .
2555	neutral	Now I can see why people thought I was too hard on `` The Mothman Prophecies '' .
8178	negative	No cute factor here ... Not that I mind ugly ; the problem is he has no character , loveable or otherwise .
2572	negative	The skills of a calculus major at M.I.T. are required to balance all the formulaic equations in the long-winded heist comedy Who Is Cletis Tout ?
4690	positive	If not a home run , then at least a solid base hit .
262	negative	Halfway through the movie , the humor dwindles .
3545	neutral	Open-ended and composed of layer upon layer , Talk to Her is a cinephile 's feast , an invitation to countless interpretations .
855	negative	It 's in the action scenes that things fall apart .
3695	negative	Well , Jason 's gone to Manhattan and Hell , I guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels -LRB- hey , do n't shoot the messenger -RRB- .
286	positive	A smart , arch and rather cold-blooded comedy .
7046	negative	One lousy movie .
3693	positive	Showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .
7479	positive	It 's a visual delight and a decent popcorn adventure , as long as you do n't try to look too deep into the story
1533	negative	Maid in Manhattan proves that it 's easier to change the sheets than to change hackneyed concepts when it comes to dreaming up romantic comedies .
4307	positive	Lawrence plumbs personal tragedy and also the human comedy .
4679	negative	Woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the `` Saving Private Ryan '' battle scenes before realizing Steven Spielberg got it right the first time ?
4100	neutral	It 's tough being a black man in America , especially when the Man has taken away your car , your work-hours and denied you health insurance .
3536	neutral	Flawed , but worth seeing for Ambrose 's performance .
2056	negative	They crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness .
4879	positive	Among the many pleasures are the lively intelligence of the artists and their perceptiveness about their own situations .
6203	positive	A family film that contains some hefty thematic material on time , death , eternity , and what is needed to live a rich and full life .
7378	positive	The casting of Raymond J. Barry as the ` assassin ' greatly enhances the quality of Neil Burger 's impressive fake documentary .
3772	negative	Not only is entry number twenty the worst of the Brosnan bunch , it 's one of the worst of the entire franchise .
5351	negative	The script boasts some tart TV-insider humor , but the film has not a trace of humanity or empathy .
7647	positive	What does n't this film have that an impressionable kid could n't stand to hear ?
3590	negative	A relentless , bombastic and ultimately empty World War II action flick .
1425	positive	All in all , Road to Perdition is more in love with strangeness than excellence .
4824	negative	Despite Auteuil 's performance , it 's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug .
7121	negative	A prolonged extrusion of psychopathic pulp .
1524	positive	It does n't reach them , but the effort is gratefully received .
3419	neutral	Teens only .
7552	positive	The best comedy concert movie I 've seen since Cho 's previous concert comedy film , I 'm the One That I Want , in 2000 .
3827	negative	I think it was Plato who said , ' I think , therefore I know better than to rush to the theatre for this one . '
8416	positive	Gondry 's direction is adequate ... but what gives Human Nature its unique feel is Kaufman 's script .
3910	neutral	Just like Igby .
6962	positive	I know I should n't have laughed , but hey , those farts got to my inner nine-year-old .
507	negative	But if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie .
4713	positive	It 's rare for any movie to be as subtle and touching as The Son 's Room .
405	positive	`` Barbershop '' is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story .
777	positive	A gift to anyone who loves both dance and cinema
1270	positive	Rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle
5367	positive	The film has the courage of its convictions and excellent performances on its side .
5186	positive	A little uneven to be the cat 's meow , but it 's good enough to be the purr .
4065	positive	Spinning a web of dazzling entertainment may be overstating it , but `` Spider-Man '' certainly delivers the goods .
6326	positive	As animation increasingly emphasizes the computer and the cool , this is a film that takes a stand in favor of tradition and warmth .
5521	positive	A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .
428	positive	This beautifully animated epic is never dull .
4693	neutral	You 'll get the enjoyable basic minimum .
7179	positive	This story of a determined woman 's courage to find her husband in a war zone offers winning performances and some effecting moments .
6117	negative	Lacks dramatic punch and depth .
2923	neutral	It is so earnest , so overwrought and so wildly implausible that it begs to be parodied .
6779	positive	The Pianist is Polanski 's best film .
5433	positive	The best film of the year 2002 .
5166	positive	Whether or not you buy Mr. Broomfield 's findings , the film acquires an undeniable entertainment value as the slight , pale Mr. Broomfield continues to force himself on people and into situations that would make lesser men run for cover .
1665	neutral	It is a movie about passion .
4789	positive	An impressive hybrid .
1947	positive	Poetic , heartbreaking .
7274	negative	The script becomes lifeless and falls apart like a cheap lawn chair .
1543	neutral	The main problem being that it 's only a peek .
4647	negative	While it 's all quite tasteful to look at , the attention process tends to do a little fleeing of its own .
1687	positive	Yet in its own aloof , unreachable way it 's so fascinating you wo n't be able to look away for a second .
8240	negative	The very simple story seems too simple and the working out of the plot almost arbitrary .
5905	negative	For a film about explosions and death and spies , `` Ballistic : Ecks vs. Sever '' seems as safe as a children 's film .
5541	neutral	Mildly entertaining .
3260	neutral	Brown 's saga , like many before his , makes for snappy prose but a stumblebum of a movie .
4893	positive	Melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold .
4298	negative	Terminally bland , painfully slow and needlessly confusing ... The movie , shot on digital videotape rather than film , is frequently indecipherable .
1550	negative	It 's just hard to believe that a life like this can sound so dull .
4615	negative	It stars schticky Chris Rock and stolid Anthony Hopkins , who seem barely in the same movie .
6863	positive	Baby-faced Renner is eerily convincing as this bland blank of a man with unimaginable demons within .
3123	positive	Oh , James !
8096	negative	Movies like High Crimes flog the dead horse of surprise as if it were an obligation .
6510	positive	The last scenes of the film are anguished , bitter and truthful .
7498	neutral	The director has injected self-consciousness into the proceedings at every turn .
7722	negative	Cox offers plenty of glimpses at existing photos , but there are no movies of Nijinsky , so instead the director treats us to an aimless hodgepodge .
520	positive	The Santa Clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .
7282	positive	The leanest and meanest of Solondz 's misanthropic comedies .
5418	positive	Schaeffer is n't in this film , which may be why it works as well as it does .
1997	positive	A lot smarter than your average Bond .
2330	positive	Deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance .
6744	negative	I 'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment .
7280	negative	It 's supposed to be a romantic comedy - it suffers from too much Norma Rae and not enough Pretty Woman .
1412	positive	Your 20th outing shows off a lot of stamina and vitality , and get this , Madonna 's cameo does n't suck !
7460	positive	An enjoyable comedy
2244	positive	Maybe he was reading the minds of the audience .
1853	negative	Even kids deserve better .
8074	negative	Nothing sticks , really , except a lingering creepiness one feels from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams .
5602	neutral	A perfectly respectable , perfectly inoffensive , easily forgettable film .
1346	negative	Full Frontal , which opens today nationwide , could almost be classified as a movie-industry satire , but it lacks the generous inclusiveness that is the genre 's definitive , if disingenuous , feature .
3815	positive	Definitely worth 95 minutes of your time .
1391	positive	One of the funniest motion pictures of the year , but ... also one of the most curiously depressing .
3272	positive	There are moments of hilarity to be had .
372	positive	`` Frailty '' offers chills much like those that you get when sitting around a campfire around midnight , telling creepy stories to give each other the willies .
8390	neutral	The movie has no respect for laws , political correctness or common decency , but it displays something more important : respect for its flawed , crazy people .
4678	negative	The movie is about as deep as that sentiment .
2287	neutral	... delivers few moments of inspiration amid the bland animation and simplistic story .
7781	positive	The spaniel-eyed Jean Reno infuses Hubert with a mixture of deadpan cool , wry humor and just the measure of tenderness required to give this comic slugfest some heart .
4610	positive	A faster paced family flick .
1298	positive	-LRB- A -RRB- real pleasure in its laid-back way .
666	negative	A sleek advert for youthful anomie that never quite equals the sum of its pretensions .
2081	positive	There are plenty of scenes in Frida that do work , but rarely do they involve the title character herself .
2724	negative	Too bad .
4020	negative	It 's been 13 months and 295 preview screenings since I last walked out on a movie , but Resident Evil really earned my indignant , preemptive departure .
8393	neutral	A dark , dull thriller with a parting shot that misfires .
7621	positive	A winning piece of work filled with love for the movies of the 1960s .
3479	positive	Gangster No. 1 is solid , satisfying fare for adults .
4146	positive	A dark , quirky road movie that constantly defies expectation .
7474	neutral	I prefer to think of it as `` Pootie Tang with a budget . ''
2007	neutral	The sequel is everything the original was not : contrived , overblown and tie-in ready .
2846	negative	Spectators will indeed sit open-mouthed before the screen , not screaming but yawning .
316	neutral	Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .
2571	neutral	This English-language version ... does full honor to Miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .
4934	negative	but rather , ` How can you charge money for this ? '
5817	negative	It 's quite an achievement to set and shoot a movie at the Cannes Film Festival and yet fail to capture its visual appeal or its atmosphere .
5969	positive	It 's a satisfying summer blockbuster and worth a look .
